bin,egs5_gy,egs5_err_pct,cc_gy,cc_err_pct,reldiff_pct,sigma
pdd_z0-1,4.674842506832818e-15,0.1717638600005136,4.771008855356413e-15,0.20945416367898517,-2.0156396988370617,7.501615233057467
pdd_z1-2,4.653474816459291e-15,0.17240724020809153,4.737636368474074e-15,0.21911449434550015,-1.7764460053292406,6.414846158988797
pdd_z2-3,4.362009916308043e-15,0.1781095485776665,4.441739529382013e-15,0.2309562067022008,-1.7950087470586837,6.195761029278079
pdd_z3-4,3.986870901287728e-15,0.18636053872148495,4.0518582077022555e-15,0.24443752290043702,-1.603888958675606,5.248792615257999
pdd_z4-5,3.577879702641939e-15,0.19681305555679818,3.619491156352168e-15,0.2611210554502795,-1.1496492714784332,3.5305524589795803
pdd_z5-6,3.1541872129039514e-15,0.20955315675098288,3.1955623898453566e-15,0.280063689595677,-1.2947698055554935,3.718846428301486
pdd_z6-7,2.7591930518848652e-15,0.2237879776665942,2.795487469312309e-15,0.30229178458969586,-1.2983215924188065,3.467813051064221
pdd_z7-8,2.4006640149058442e-15,0.24004000333361114,2.41548820645566e-15,0.3261844572429589,-0.6137140934986274,1.5186549961936069
pdd_z8-9,2.0674640940437565e-15,0.25854687620964617,2.0803582518387414e-15,0.35283047693139785,-0.6198046794867281,1.4200257830111886
pdd_z9-10,1.7787201731910092e-15,0.27854989651759204,1.7833660599767786e-15,0.3839123398080242,-0.26051223526312434,0.5497274555637774
pdd_z10-11,1.515885577276199e-15,0.3013713094091095,1.5102276812099193e-15,0.41759346823594096,0.3746386148707693,0.7265423007058348
pdd_z11-12,1.2883716935200251e-15,0.3269860890684738,1.2881283184983729e-15,0.4545844618539471,0.018893693908999438,0.03373834421378015
pdd_z12-13,1.0999398756586514e-15,0.3545698944289633,1.0891818855351782e-15,0.4961478923734333,0.9877129124477904,1.614267090248911
pdd_z13-14,9.237764732814036e-16,0.38652349249115275,9.235122986480522e-16,0.5403481740504406,0.028605426667100205,0.043052833993338605
pdd_z14-15,7.840501848632069e-16,0.41984158577538244,7.723746526211453e-16,0.5945204923185532,1.511641041357241,2.0664975401840446
lat_shallow_x-8--7,3.4966984849831166e-16,0.8903394136360517,3.534581277497136e-16,1.1293710888458552,-1.0717759626918089,0.7483267847969696
lat_shallow_x-7--6,5.040149983417223e-16,0.7436709262740715,5.175041033542877e-16,0.9279342067466673,-2.606569672613905,2.2143287231371938
lat_shallow_x-6--5,7.881460589954807e-16,0.5954867245854097,8.139885395710028e-16,0.7276190780544322,-3.174796611896014,3.4197444667038996
lat_shallow_x-5--4,4.145067837414576e-15,0.2566652572560513,4.229201804405423e-15,0.29355631593046116,-1.989358060502272,5.1458163521600415
lat_shallow_x-4--3,4.42616100471036e-15,0.24864438742946204,4.501055778670921e-15,0.2851256206776522,-1.6639379213086645,4.430001455726934
lat_shallow_x-3--2,4.570308884488622e-15,0.24503968775116752,4.67369310279805e-15,0.28050724034934393,-2.212045507385457,5.996008645524041
lat_shallow_x-2--1,4.6510979610132474e-15,0.24285502892401292,4.7555952638153055e-15,0.27886381641904756,-2.1973548421406726,5.998685389472248
lat_shallow_x-1-0,4.6770272931519094e-15,0.2419894664435387,4.771346697428239e-15,0.2781529911068861,-1.976787901980958,5.407528621862825
lat_shallow_x0-1,4.6726657233940175e-15,0.24223932259241304,4.7706710132845885e-15,0.2781558720336814,-2.0543292467173244,5.6190409086517565
lat_shallow_x1-2,4.635780448138742e-15,0.24288407358302946,4.711302123877966e-15,0.2801383373976783,-1.6029894443929356,4.353217663250384
lat_shallow_x2-3,4.591316445249112e-15,0.2445442629351517,4.6640012665465214e-15,0.2809965024289111,-1.5584219888351247,4.211774069475904
lat_shallow_x3-4,4.4100672124477526e-15,0.2491761332704243,4.513656129999133e-15,0.2848926466799255,-2.2950112850400135,6.124160406816962
lat_shallow_x4-5,4.149005254517114e-15,0.25694247539247633,4.210877355665832e-15,0.2935229214861244,-1.4693399005190118,3.7906706382789195
lat_shallow_x5-6,7.828401493634027e-16,0.5964078847022791,8.126053088687136e-16,0.7299201862837887,-3.662929491163311,3.943184582306365
lat_shallow_x6-7,5.012540046417723e-16,0.7432073851027073,5.123964629085625e-16,0.9302135990813094,-2.174577514360888,1.841875167166391
lat_shallow_x7-8,3.504877428639201e-16,0.8896911077013008,3.624488251910998e-16,1.125236579092775,-3.3000747956275682,2.329823465607445
lat_10cm_x-8--7,4.1183782316483925e-16,0.8156222552136366,4.158692244966483e-16,1.1041011934570704,-0.9693916006139908,0.708615791786361
lat_10cm_x-7--6,5.358608598785664e-16,0.7149458246525833,5.419884143909372e-16,0.955973982882524,-1.1305692796508657,0.9509176730416459
