bin,egs5_gy,egs5_err_pct,cc_gy,cc_err_pct,reldiff_pct,sigma
pdd_z0-1,4.674842506832818e-15,0.1717638600005136,4.76360126937951e-15,0.20928476749234676,-1.8632701926005955,6.9337136268573545
pdd_z1-2,4.653474816459291e-15,0.17240724020809153,4.74006303395698e-15,0.2188640865043739,-1.8267313509838634,6.60241682092819
pdd_z2-3,4.362009916308043e-15,0.1781095485776665,4.431872164038223e-15,0.22993561250929448,-1.5763597221297814,5.451916845674531
pdd_z3-4,3.986870901287728e-15,0.18636053872148495,4.068544760931115e-15,0.24332097194521757,-2.0074465058778315,6.5984834903955845
pdd_z4-5,3.577879702641939e-15,0.19681305555679818,3.641559324271678e-15,0.2596912610865192,-1.7486910402722866,5.40089885517985
pdd_z5-6,3.1541872129039514e-15,0.20955315675098288,3.2059345049847383e-15,0.2791090743704742,-1.6141094585783882,4.651626775149957
pdd_z6-7,2.7591930518848652e-15,0.2237879776665942,2.79940840612355e-15,0.29995278699182953,-1.436566174150075,3.858390246680076
pdd_z7-8,2.4006640149058442e-15,0.24004000333361114,2.424371346893867e-15,0.3241802016749818,-0.9778754405094296,2.4326266174332423
pdd_z8-9,2.0674640940437565e-15,0.25854687620964617,2.1004844254371466e-15,0.3502166892411804,-1.572034098111344,3.6312994378842665
pdd_z9-10,1.7787201731910092e-15,0.27854989651759204,1.802712499511129e-15,0.38128822603080054,-1.3309014236394467,2.8315820666087035
pdd_z10-11,1.515885577276199e-15,0.3013713094091095,1.5450178567957931e-15,0.41246804141506516,-1.8855626419756348,3.7153548380261645
pdd_z11-12,1.2883716935200251e-15,0.3269860890684738,1.3134262148327355e-15,0.44809807003692237,-1.907569761419833,3.4616119343051293
pdd_z12-13,1.0999398756586514e-15,0.3545698944289633,1.1243781116405631e-15,0.48840824846489284,-2.1734891251355166,3.6282472804645507
pdd_z13-14,9.237764732814036e-16,0.38652349249115275,9.51613022095416e-16,0.5326347376138867,-2.92519628963435,4.489754143026038
pdd_z14-15,7.840501848632069e-16,0.41984158577538244,7.960045366481825e-16,0.5815509312560396,-1.501794428875108,2.1045554827295483
lat_shallow_x-8--7,3.4966984849831166e-16,0.8903394136360517,3.601199477056993e-16,1.1232856964955664,-2.9018384774196906,2.047238822690419
lat_shallow_x-7--6,5.040149983417223e-16,0.7436709262740715,5.10776585154243e-16,0.9311215589706108,-1.3237855863104682,1.1166164249915835
lat_shallow_x-6--5,7.881460589954807e-16,0.5954867245854097,8.107345143675292e-16,0.7339375657906733,-2.7861716717056555,2.9806141426596784
lat_shallow_x-5--4,4.145067837414576e-15,0.2566652572560513,4.21635356377483e-15,0.293895337880466,-1.6906961259774635,4.364736070898838
lat_shallow_x-4--3,4.42616100471036e-15,0.24864438742946204,4.50933872330304e-15,0.28485559579941855,-1.8445657710927694,4.917408442195028
lat_shallow_x-3--2,4.570308884488622e-15,0.24503968775116752,4.646250418946522e-15,0.2819962994326018,-1.634469251769667,4.405920242011629
lat_shallow_x-2--1,4.6510979610132474e-15,0.24285502892401292,4.694097413646476e-15,0.27988698107328547,-0.9160323879990817,2.481755384536389
lat_shallow_x-1-0,4.6770272931519094e-15,0.2419894664435387,4.773162349065696e-15,0.277740152306617,-2.0140747136456443,5.515148794071125
lat_shallow_x0-1,4.6726657233940175e-15,0.24223932259241304,4.754040189693323e-15,0.2787718016229183,-1.711690752546089,4.668985215521965
lat_shallow_x1-2,4.635780448138742e-15,0.24288407358302946,4.7181841440678596e-15,0.27969308653706737,-1.7465129255864857,4.750270888320997
lat_shallow_x2-3,4.591316445249112e-15,0.2445442629351517,4.634838856277073e-15,0.28212375438931925,-0.9390274910856496,2.5252359668623705
lat_shallow_x3-4,4.4100672124477526e-15,0.2491761332704243,4.4856317303277725e-15,0.28607807274598607,-1.6845903191098186,4.472720413886497
lat_shallow_x4-5,4.149005254517114e-15,0.25694247539247633,4.195823823118553e-15,0.29422945921349947,-1.1158373319554984,2.8703331826369816
lat_shallow_x5-6,7.828401493634027e-16,0.5964078847022791,7.991417846390095e-16,0.7408236488600717,-2.0398927435599687,2.162089877448654
lat_shallow_x6-7,5.012540046417723e-16,0.7432073851027073,5.05115901155154e-16,0.9494575524414892,-0.7645565115946459,0.6359363001345667
lat_shallow_x7-8,3.504877428639201e-16,0.8896911077013008,3.52978247578945e-16,1.139523387204348,-0.7055688932978508,0.48934949190148525
lat_10cm_x-8--7,4.1183782316483925e-16,0.8156222552136366,4.1548618257492144e-16,1.078970855997197,-0.878094040931027,0.6512828290881695
lat_10cm_x-7--6,5.358608598785664e-16,0.7149458246525833,5.450173989903647e-16,0.9439816205496409,-1.6800452845653424,1.4274533079750689
lat_10cm_x-6--5,7.122203328229123e-16,0.6197032434224201,7.229233442228032e-16,0.8121032214095041,-1.4805181608013247,1.4572024912560348
lat_10cm_x-5--4,1.3999358461987313e-15,0.4415997347495269,1.4353137847226623e-15,0.5459476215211502,-2.464822598409508,3.544492533519707
lat_10cm_x-4--3,1.5747587661274526e-15,0.4168137050626608,1.6075446593156644e-15,0.5170128404602877,-2.0395012355158326,3.0957672202797073
lat_10cm_x-3--2,1.683477894863167e-15,0.4033999020721718,1.6990279430674344e-15,0.5014664319130689,-0.9152320459305266,1.427204504502324
lat_10cm_x-2--1,1.738673760221299e-15,0.3967130942298486,1.779028539928254e-15,0.4916941002863538,-2.268360445110266,3.622611248635646
lat_10cm_x-1-0,1.781721253299651e-15,0.39219439890403573,1.806790058662741e-15,0.48985317894078084,-1.3874774904199112,2.223071035912564
lat_10cm_x0-1,1.7757110902020782e-15,0.3926398478484253,1.7986349403595168e-15,0.4909406627030738,-1.2745137794808148,2.0375038569151496
lat_10cm_x1-2,1.7436275431206298e-15,0.3956107860011474,1.7754898342665055e-15,0.49228461886089675,-1.7945634230588978,2.861574277321406
lat_10cm_x2-3,1.6849664305970532e-15,0.40316416917998527,1.723395213494189e-15,0.49856494321846173,-2.229829965653747,3.5084324120649297
lat_10cm_x3-4,1.5695248824179823e-15,0.41735672037528043,1.6103271255661247e-15,0.5165913052222598,-2.533785992942143,3.853525382946724
lat_10cm_x4-5,1.423016152954256e-15,0.4396124017928948,1.4433161286399867e-15,0.5445784285234653,-1.4064815935271955,2.0207846681818595
lat_10cm_x5-6,7.196037901781989e-16,0.617900066838601,7.267973184146262e-16,0.8110441671459473,-0.9897571240519603,0.9742568829376888
lat_10cm_x6-7,5.326909189958123e-16,0.7155721548501858,5.517470898706439e-16,0.9362191649824042,-3.453787292163027,2.968382077904228
lat_10cm_x7-8,4.1107034694505605e-16,0.8156148216792269,4.160058953095635e-16,1.0842832693012072,-1.186413082159506,0.8781726376368619
